chapter,order,path_old,filename_old,slug,path_new,title,h1,group,source_id,n_figures,figures,issues,notes
06-metrics,9,06-metrics/14-2. Precision and Recall at K.md,14-2. Precision and Recall at K.md,precision-and-recall-at-k,06-metrics/precision-and-recall-at-k.qmd,Precision và Recall at K,Precision và Recall at K,metrics,14-2,1,14-2-precision-recall-k.svg,spaces,
06-metrics,10,06-metrics/116. NDCG (Normalized Discounted Cumulative Gain.md,116. NDCG (Normalized Discounted Cumulative Gain.md,ndcg,06-metrics/ndcg.qmd,NDCG (Normalized Discounted Cumulative Gain),NDCG (Normalized Discounted Cumulative Gain),metrics,116,1,116-ndcg-ranks.svg,unbalanced-paren;spaces,MUST_FIX filename
06-metrics,11,06-metrics/113. Cohen's Kappa.md,113. Cohen's Kappa.md,cohens-kappa,06-metrics/cohens-kappa.qmd,Cohen's Kappa,Cohen's Kappa,metrics,113,1,113-kappa-agreement.svg,spaces,
06-metrics,12,06-metrics/115. Expected Calibration Error.md,115. Expected Calibration Error.md,expected-calibration-error,06-metrics/expected-calibration-error.qmd,Expected Calibration Error,Expected Calibration Error,metrics,115,1,115-ece-reliability.svg,spaces,
06-metrics,13,06-metrics/117. Isotonic Regression Calibration.md,117. Isotonic Regression Calibration.md,isotonic-regression-calibration,06-metrics/isotonic-regression-calibration.qmd,Isotonic Regression Calibration,Isotonic Regression Calibration,metrics,117,1,117-isotonic-pava.svg,spaces,
07-activations-losses,1,07-activations-losses/49. Implement ReLU Activation.md,49. Implement ReLU Activation.md,relu-activation,07-activations-losses/relu-activation.qmd,ReLU Activation,ReLU Activation,activations-losses,49,1,49-relu.svg,spaces,
07-activations-losses,2,07-activations-losses/23. Implement Leaky ReLU (with a).md,23. Implement Leaky ReLU (with a).md,leaky-relu,07-activations-losses/leaky-relu.qmd,Leaky ReLU (với α),Leaky ReLU (với α),activations-losses,23,1,23-leaky-relu.svg,spaces,
07-activations-losses,3,07-activations-losses/50. Implement Tanh Activation.md,50. Implement Tanh Activation.md,tanh-activation,07-activations-losses/tanh-activation.qmd,Tanh Activation,Tanh Activation,activations-losses,50,1,50-tanh.svg,spaces,
07-activations-losses,4,07-activations-losses/25. Implement Softmax Function.md,25. Implement Softmax Function.md,softmax-function,07-activations-losses/softmax-function.qmd,Softmax,Softmax,activations-losses,25,1,25-softmax.svg,spaces,
07-activations-losses,5,07-activations-losses/35. Implement GELU Activation (Gaussian Error Line...md,35. Implement GELU Activation (Gaussian Error Line...md,gelu-activation,07-activations-losses/gelu-activation.qmd,GELU Activation,GELU Activation,activations-losses,35,1,35-gelu.svg,truncated;unbalanced-paren;spaces,MUST_FIX filename
07-activations-losses,6,07-activations-losses/51. Implement Swish Activation.md,51. Implement Swish Activation.md,swish-activation,07-activations-losses/swish-activation.qmd,Swish Activation,Swish Activation,activations-losses,51,1,51-swish.svg,spaces,
07-activations-losses,7,07-activations-losses/132. ELU Activation.md,132. ELU Activation.md,elu-activation,07-activations-losses/elu-activation.qmd,ELU Activation,ELU Activation,activations-losses,132,1,132-elu.svg,spaces,
07-activations-losses,8,07-activations-losses/133. SELU Activation.md,133. SELU Activation.md,selu-activation,07-activations-losses/selu-activation.qmd,SELU Activation,SELU Activation,activations-losses,133,1,133-selu.svg,spaces,
07-activations-losses,9,07-activations-losses/33. Implement Hinge Loss (Binary SVM).md,33. Implement Hinge Loss (Binary SVM).md,hinge-loss-binary-svm,07-activations-losses/hinge-loss-binary-svm.qmd,Hinge Loss (SVM nhị phân),Hinge Loss (SVM nhị phân),activations-losses,33,1,33-hinge.svg,spaces,
07-activations-losses,10,07-activations-losses/52. Implement Huber Loss.md,52. Implement Huber Loss.md,huber-loss,07-activations-losses/huber-loss.qmd,Huber Loss,Huber Loss,activations-losses,52,1,52-huber.svg,spaces,
